arc,x,y
1,159,433
1,158,432
1,158,433
1,158,434
1,159,432
1,159,434
1,160,432
1,160,433
1,160,434
1,157,433
1,158,431
1,159,431
1,157,434
1,157,435
1,158,435
1,159,435
1,160,431
1,160,435
1,161,431
1,158,430
1,159,430
1,160,430
1,157,436
1,158,436
1,159,436
1,161,430
1,158,429
1,159,429
1,160,429
1,161,429
1,156,437
1,157,437
1,158,437
1,159,437
1,159,428
1,160,428
1,161,428
1,156,438
1,157,438
1,158,438
1,159,438
1,159,427
1,160,427
1,161,427
1,156,439
1,157,439
1,158,439
1,159,426
1,160,426
1,161,426
1,162,426
1,155,440
1,156,440
1,157,440
1,158,440
1,159,425
1,160,425
1,161,425
1,162,425
1,155,441
1,156,441
1,157,441
1,158,441
1,159,424
1,160,424
1,161,424
1,162,424
1,154,442
1,155,442
1,156,442
1,157,442
1,158,442
1,159,423
1,160,423
1,161,423
1,162,423
1,155,443
1,156,443
1,159,422
1,160,422
1,161,422
1,162,422
1,154,444
1,155,444
1,156,444
1,160,421
1,161,421
1,162,421
1,153,445
1,154,445
1,155,445
1,156,445
1,157,445
1,160,420
1,161,420
1,153,446
1,154,446
1,155,446
1,156,446
1,160,419
1,161,419
1,162,419
1,153,447
1,154,447
1,155,447
1,160,418
1,161,418
1,162,418
1,153,448
1,154,448
1,155,448
1,162,417
2,173,540
2,172,539
2,172,540
2,172,541
2,173,539
2,173,541
2,174,539
2,174,540
2,174,541
2,171,539
2,171,540
2,171,541
2,175,539
2,175,540
2,175,541
2,170,539
2,170,540
2,170,541
2,176,539
2,176,540
2,176,541
2,169,539
2,169,540
2,169,541
2,177,539
2,177,540
2,177,541
2,168,539
2,168,540
2,168,541
2,178,538
2,178,539
2,178,540
2,178,541
2,167,538
2,167,539
2,167,540
2,168,538
2,167,541
2,179,538
2,179,539
2,179,540
2,179,541
2,166,538
2,166,539
2,166,540
2,166,541
2,180,538
2,180,539
2,180,540
2,180,541
2,165,537
2,165,538
2,165,539
2,165,540
2,181,538
2,181,539
2,181,540
2,181,541
2,164,538
2,164,539
2,164,540
2,182,538
2,182,539
2,182,540
2,163,537
2,163,538
2,163,539
2,183,538
2,183,539
2,183,540
2,162,537
2,162,538
2,162,539
2,184,538
2,184,539
2,184,540
2,161,539
2,161,538
2,185,537
2,185,538
3,179,350
3,178,349
3,178,350
3,178,351
3,179,349
3,179,351
3,180,349
3,180,350
3,180,351
3,177,348
3,177,349
3,178,348
3,179,348
3,178,352
3,179,352
3,180,348
3,180,352
3,177,347
3,178,347
3,179,347
3,180,347
3,179,353
3,180,353
3,181,353
3,177,346
3,178,346
3,179,346
3,180,346
3,178,354
3,179,354
3,180,354
3,181,354
3,177,345
3,178,345
3,179,345
3,180,345
3,178,355
3,179,355
3,180,355
3,181,355
3,177,344
3,178,344
3,179,344
3,180,344
3,179,356
3,180,356
3,181,356
3,177,343
3,178,343
3,179,343
3,179,357
3,180,357
3,181,357
3,177,342
3,178,342
3,179,342
3,179,358
3,180,358
3,181,358
3,182,358
3,177,341
3,178,341
3,179,341
3,179,359
3,180,359
3,181,359
3,177,340
3,178,340
3,179,340
3,180,360
3,181,360
3,182,360
3,177,339
3,178,339
3,179,339
3,180,361
3,181,361
3,182,361
3,176,338
3,177,338
3,178,338
3,179,338
3,180,362
3,181,362
3,182,362
3,176,337
3,177,337
3,178,337
3,179,337
3,181,363
3,182,363
3,176,336
3,177,336
3,178,336
3,179,336
3,180,364
3,181,364
3,182,364
3,183,364
3,176,335
3,177,335
3,178,335
3,179,335
3,181,365
3,182,365
3,183,365
3,176,334
3,177,334
3,178,334
3,179,334
3,182,366
3,183,366
3,184,366
3,176,333
3,177,333
3,178,333
3,179,333
3,182,367
3,183,367
3,184,367
3,176,332
3,177,332
3,178,332
3,179,332
3,182,368
3,183,368
3,176,331
3,177,331
3,178,331
3,179,331
3,184,369
3,176,330
3,177,330
3,178,330
3,179,330
3,177,329
3,178,329
3,179,329
3,177,328
3,178,328
3,179,328
3,176,327
3,176,328
3,177,327
3,178,327
3,179,327
3,179,326
3,178,326
3,176,329
4,153,449
4,152,448
4,152,449
4,152,450
4,153,450
4,154,449
4,154,450
4,151,449
4,152,447
4,151,450
4,151,451
4,152,451
4,153,451
4,150,451
4,150,452
4,151,452
4,152,452
4,153,452
4,149,453
4,150,453
4,151,453
4,152,453
4,149,454
4,150,454
4,151,454
4,152,454
4,148,455
4,149,455
4,150,455
4,151,455
4,153,453
4,147,456
4,148,456
4,149,456
4,150,456
4,151,456
4,146,457
4,147,457
4,148,457
4,149,457
4,150,457
4,146,458
4,147,458
4,148,458
4,149,458
4,150,458
4,145,459
4,146,459
4,147,459
4,148,459
4,144,460
4,145,460
4,146,460
4,147,460
4,148,460
4,143,461
4,144,461
4,145,461
4,146,461
4,147,461
4,142,462
4,143,462
4,144,462
4,145,462
4,146,462
4,147,462
4,143,463
4,144,463
4,145,463
4,143,464
4,144,464
4,145,464
4,142,463
4,142,464
4,142,465
4,143,465
4,141,464
4,141,465
4,142,466
4,143,466
4,140,464
4,140,465
4,140,466
4,141,466
4,142,467
4,139,465
5,216,468
5,215,467
5,215,468
5,215,469
5,216,467
5,216,469
5,217,467
5,217,468
5,217,469
5,215,466
5,216,466
5,215,470
5,216,470
5,217,466
5,217,470
5,218,469
5,218,470
5,215,465
5,216,465
5,217,465
5,215,471
5,216,471
5,217,471
5,218,471
5,214,464
5,215,464
5,216,464
5,217,464
5,215,472
5,216,472
5,217,472
5,218,472
5,214,463
5,215,463
5,216,463
5,217,463
5,215,473
5,216,473
5,217,473
5,218,473
5,214,462
5,215,462
5,216,462
5,215,474
5,216,474
5,217,474
5,218,474
5,214,461
5,215,461
5,216,461
5,215,475
5,216,475
5,217,475
5,218,475
5,215,460
5,216,460
5,217,460
5,215,476
5,216,476
5,217,476
5,218,476
5,215,459
5,216,459
5,215,477
5,216,477
5,217,477
5,218,477
5,214,458
5,215,458
5,215,478
5,216,478
5,217,478
5,218,478
5,213,457
5,213,458
5,214,457
5,215,457
5,215,479
5,216,479
5,217,479
5,218,479
5,214,456
5,215,456
5,216,456
5,215,480
5,216,480
5,217,480
5,218,480
5,215,481
5,216,481
5,217,481
5,215,482
5,216,482
5,217,482
5,215,483
5,216,483
5,217,483
5,215,484
5,216,484
5,217,484
5,216,485
5,217,485
5,216,486
5,217,486
6,147,197
6,146,196
6,146,197
6,146,198
6,147,196
6,147,198
6,148,196
6,148,197
6,148,198
6,145,196
6,145,197
6,145,198
6,149,196
6,149,197
6,149,198
6,144,196
6,144,197
6,144,198
6,150,196
6,150,197
6,150,198
6,143,196
6,143,197
6,143,198
6,151,196
6,151,197
6,151,198
6,142,196
6,142,197
6,142,198
6,152,196
6,152,197
6,152,198
6,141,196
6,141,197
6,141,198
6,153,196
6,153,197
6,153,198
6,140,196
6,140,197
6,140,198
6,154,195
6,154,196
6,154,197
6,154,198
6,139,196
6,139,197
6,139,198
6,155,195
6,155,196
6,155,197
6,138,196
6,138,197
6,138,198
6,156,195
6,156,196
6,156,197
6,137,197
6,137,198
6,157,195
6,157,196
6,157,197
6,136,197
6,158,195
6,158,196
6,158,197
6,135,196
6,135,197
6,159,197
6,159,196
6,134,195
6,134,196
6,135,195
6,133,195
6,133,196
6,132,196
6,132,197
6,131,196
6,131,197
7,288,162
7,287,162
7,287,163
7,288,161
7,288,163
7,289,161
7,289,162
7,289,163
7,287,161
7,287,164
7,288,164
7,287,160
7,288,160
7,289,160
7,289,164
7,290,162
7,290,163
7,290,164
7,286,160
7,287,165
7,288,165
7,289,165
7,286,159
7,287,159
7,288,159
7,289,159
7,290,165
7,288,166
7,289,166
7,290,166
7,286,158
7,287,158
7,288,158
7,289,158
7,288,167
7,289,167
7,290,167
7,286,157
7,287,157
7,288,157
7,289,157
7,288,168
7,289,168
7,290,168
7,286,156
7,287,156
7,288,156
7,288,169
7,289,169
7,290,169
7,291,169
7,285,155
7,286,155
7,287,155
7,288,155
7,288,170
7,289,170
7,290,170
7,291,170
7,285,154
7,285,156
7,286,154
7,287,154
7,288,171
7,289,171
7,290,171
7,291,171
7,285,153
7,286,153
7,287,153
7,288,172
7,289,172
7,290,172
7,291,172
7,285,152
7,286,152
7,287,152
7,288,173
7,289,173
7,290,173
7,284,151
7,285,151
7,286,151
7,288,174
7,289,174
7,284,150
7,285,150
7,286,150
7,288,175
7,289,175
7,284,149
7,285,149
7,286,149
8,131,484
8,130,483
8,130,484
8,130,485
8,131,483
8,131,485
8,132,483
8,132,484
8,132,485
8,129,482
8,129,483
8,130,482
8,131,482
8,130,486
8,131,486
8,132,482
8,132,486
8,129,481
8,130,481
8,131,481
8,132,481
8,130,487
8,131,487
8,132,487
8,129,480
8,130,480
8,131,480
8,132,480
8,130,488
8,131,488
8,132,488
8,133,488
8,129,479
8,130,479
8,131,479
8,132,479
8,130,489
8,131,489
8,132,489
8,133,489
8,129,478
8,130,478
8,131,478
8,132,478
8,130,490
8,131,490
8,132,490
8,133,490
8,130,477
8,131,477
8,132,477
8,131,491
8,132,491
8,133,491
8,130,476
8,131,476
8,132,476
8,131,492
8,132,492
8,130,475
8,131,475
8,132,475
8,131,493
8,132,493
8,133,493
8,130,474
8,132,494
8,133,494
8,134,494
8,131,495
8,132,495
8,133,495
8,131,496
8,132,496
8,133,496
9,178,322
9,177,321
9,177,322
9,177,323
9,178,321
9,178,323
9,179,321
9,179,322
9,179,323
9,177,320
9,178,320
9,177,324
9,178,324
9,179,320
9,179,324
9,180,320
9,177,319
9,178,319
9,179,319
9,176,325
9,177,325
9,178,325
9,179,325
9,180,319
9,177,318
9,178,318
9,179,318
9,180,318
9,176,326
9,177,326
9,177,317
9,178,317
9,179,317
9,180,317
9,177,316
9,178,316
9,179,316
9,180,316
9,178,315
9,179,315
9,180,315
9,178,314
9,179,314
9,180,314
9,178,313
9,179,313
9,180,313
9,178,312
9,179,312
9,180,312
9,179,311
9,180,311
9,179,310
9,180,310
9,181,310
9,178,309
9,179,309
9,180,309
9,181,309
9,178,308
9,179,308
9,180,308
9,179,307
9,180,307
9,181,307
9,180,306
9,181,306
9,180,305
9,181,305
9,180,304
9,181,304
9,179,303
9,180,303
9,181,303
9,181,302
9,181,301
9,182,301
9,180,300
9,181,300
9,182,300
9,182,299
9,183,299
9,182,298
9,183,298
9,181,297
9,181,299
9,182,297
9,183,297
9,181,296
9,182,296
9,183,296
9,183,295
9,183,294
10,123,108
10,122,107
10,122,108
10,122,109
10,123,107
10,123,109
10,124,107
10,124,108
10,124,109
10,121,106
10,121,107
10,121,108
10,122,106
10,123,106
10,121,109
10,125,107
10,125,108
10,125,109
10,120,106
10,120,107
10,120,108
10,120,109
10,126,107
10,126,108
10,126,109
10,119,106
10,119,107
10,119,108
10,119,109
10,127,107
10,127,108
10,127,109
10,118,106
10,118,107
10,118,108
10,118,109
10,128,107
10,128,108
10,128,109
10,117,107
10,117,108
10,117,109
10,129,107
10,129,108
10,129,109
10,116,107
10,116,108
10,116,109
10,130,107
10,130,108
10,130,109
10,130,110
10,115,107
10,115,108
10,115,109
10,131,107
10,131,108
10,131,109
10,114,106
10,114,107
10,114,108
10,114,109
10,132,107
10,132,108
10,132,109
10,113,106
10,113,107
10,113,108
10,113,109
10,133,107
10,133,108
10,133,109
10,112,106
10,112,107
10,112,108
